Class	Name	Abv	Channel	SIunit	a	b
Limit Switch	Oxidizer Run Valve	LS1	1	NA	1	0
Limit Switch	Nitrogen Purge Valve	LS2	2	NA	1	0
Limit Switch	Sprinkler Valve	LS3	3	NA	1	0
Limit Switch	Oxidizer Vent Valve	LS4	4	NA	1	0
PT	Tank Pressure	OPT1	5	kPa	1	0
PT	Feed Pressure	OPT2	6	kPa	1	0
PT	Chamber Pressure	OPT3	7	kPa	1	0
PT	Nitrogen Purge Pressure	NPT1	8	kPa	1	0
PT	Pnuematic Control Pressure	NPT2	9	kPa	1	0
PT	Pnuematic Control Pressure	NPT3	10	kPa	1	0
PT	Pnuematic Control Pressure	NPT4	11	kPa	1	0
